movie_id,title,release_date,runtime,budget
447027,Running Forever,10/27/2015,88,0
433715,8 Days,6/15/2014,90,0
426469,Growing Up Smith,2/3/2017,102,0
426067,Midnight Cabaret,1/1/1990,94,0
417859,Puss in Boots,10/28/2011,90,130000000
408429,Perfect Cowboy,7/13/2014,109,200
407887,Operation Chromite,7/27/2016,110,0
402515,American Beast,10/21/2014,89,0
396152,Restoration,5/3/2016,90,0
395766,The Secret,4/29/2016,200,0
394047,The Dog Lover,7/8/2016,101,2000000
389425,Code of Honor,5/6/2016,106,8000000
386826,A Beginner's Guide to Snuff,3/4/2016,87,0
385736,Kicks,9/9/2016,80,0
385636,Juliet and Alfa Romeo,9/17/2015,83,0
385383,Fight Valley,7/22/2016,90,27000000
381902,The Monkey King 2,1/22/2016,120,68490000
380733,Fight to the Finish,2/2/2016,94,0
380097,America Is Still the Place,,0,0
379532,Rodeo Girl,1/5/2016,108,0
378237,Amidst the Devil's Wings,12/1/2014,90,300000
378200,The Perfect Match,3/11/2016,96,0
376659,Bad Moms,7/28/2016,100,20000000
376010,Western Religion,10/9/2015,106,0
376004,Adulterers,1/5/2016,80,750000
375950,The Country Doctor,3/23/2016,102,0
375290,Airlift,1/22/2016,126,4500000
374461,Mr. Church,9/16/2016,104,8000000
373314,Misconduct,2/5/2016,106,11000000
371690,Rotor DR1,10/20/2015,98,350000
371085,Sharkskin,1/1/2015,0,0
370980,Chiamatemi Francesco - Il Papa della gente,12/3/2015,,15000000
370662,Time to Choose,9/4/2015,100,3500000
370464,The Masked Saint,1/8/2016,111,0
367961,Savva. Heart of the Warrior,11/12/2015,85,30000000
367551,American Hero,12/11/2015,86,0
366967,Dutch Kills,10/2/2015,90,0
365222,Ip Man 3,12/19/2015,105,36000000
365052,The Looking Glass,10/23/2015,110,0
364083,Mi America,10/16/2015,126,2100000
362765,The Sound and the Shadow,10/19/2014,90,0
362105,R.L. Stine's Monsterville: The Cabinet of Souls,9/29/2015,85,4400000
361505,Me You and Five Bucks,7/7/2015,90,1
361475,Departure,5/20/2016,109,0
361398,Theresa Is a Mother,9/25/2015,105,0
361159,Navy Seals vs. Zombies,10/8/2015,97,0
360339,Eden,10/22/2015,97,2300000
360188,Queen Crab,9/29/2015,90,75000
358451,A Tale of Three Cities,8/28/2015,130,0
357837,Dancin' It's On,10/16/2015,89,0
357834,The Algerian,8/7/2015,99,1
357441,Karachi se Lahore,7/31/2015,0,0
356987,Abandoned,8/30/2015,82,0
356841,Checkmate,7/3/2015,102,0
356483,Unnatural,10/16/2015,89,0
356216,The Rise of the Krays,8/29/2015,110,2500000
355629,The Blade of Don Juan,10/27/2013,98,0
354624,Heroes of Dirt,9/4/2015,98,0
354110,Forsaken,9/16/2015,90,11000000
352978,Chain of Command,8/30/2015,88,5000000
351819,Fifty Shades of Black,1/28/2016,92,20000000
351043,Amnesiac,8/14/2015,90,3000000
347969,The Ridiculous 6,12/11/2015,119,60000000
347764,Goddess of Love,8/31/2015,96,0
347755,Wind Walkers,1/28/2016,93,0
347548,Containment,7/9/2015,77,0
347126,God's Not Dead 2,4/1/2016,121,5000000
346081,Sardaarji,6/26/2015,0,0
345911,Lights Out,7/21/2016,81,4900000
345003,10 Days in a Madhouse,11/20/2015,111,1200000
344466,The World Is Mine,6/5/2015,104,0
343795,90 Minutes in Heaven,9/11/2015,121,5000000
343409,Windsor Drive,6/26/2015,90,0
342521,Keanu,4/21/2016,94,15000000
342502,AWOL-72,8/7/2015,79,3000000
340816,Christmas Eve,12/4/2015,95,0
340611,Indignation,7/29/2016,110,0
339984,Miracles from Heaven,3/17/2016,117,16000000
339408,The Birth of a Nation,9/9/2016,120,8500000
336004,Heist,11/13/2015,93,8900000
335874,Childless,4/3/2015,90,0
335866,Circle,10/2/2015,87,0
335778,Risen,2/19/2016,107,20000000
335244,Antarctic Edge: 70?? South,4/17/2015,72,0
334531,My All American,11/13/2015,118,20000000
334527,Criminal Activities,11/20/2015,94,7000000
334074,Survivor,5/21/2015,96,20000000
333371,10 Cloverfield Lane,3/10/2016,103,15000000
333355,Star Wars: Clone Wars: Volume 1,3/21/2005,69,0
333348,Love the Coopers,11/12/2015,107,17000000
332567,The Shallows,6/24/2016,86,17000000
332411,I Am Wrath,4/14/2016,92,18000000
332285,Antibirth,9/2/2016,94,35000000
331745,Top Spin,11/15/2014,80,0
331592,Listening,9/11/2015,100,0
331493,Light from the Darkroom,1/1/2014,0,0
331190,Captive,9/17/2015,97,2000000
330770,Evolution,9/14/2015,81,0
329833,Zoolander 2,2/6/2016,100,50000000
329540,The Marine 4: Moving Target,4/10/2015,90,1950000
329440,The Forest,1/7/2016,95,10000000
328425,The Gift,7/30/2015,108,5000000
328387,Nerve,7/27/2016,96,20000000
328307,Rise of the Entrepreneur: The Search for a Better Way,11/20/2014,0,0
328111,The Secret Life of Pets,6/18/2016,87,75000000
327833,Skin Trade,11/7/2014,96,9000000
326576,Dawn of the Crescent Moon,4/5/2014,95,0
326284,Pound of Flesh,5/7/2015,104,7500000
325789,The Infiltrator,7/13/2016,127,25000000
325579,Diamond Ruff,1/1/2015,0,0
325373,Two Lovers and a Bear,10/2/2016,96,0
325173,Close Range,12/11/2015,80,0
325140,Hum To Mohabbat Karega,5/26/2000,0,0
325133,Neighbors 2: Sorority Rising,5/4/2016,91,35000000
325123,Teeth and Blood,3/10/2015,96,0
324668,Jason Bourne,7/27/2016,123,120000000
324352,Anderson's Cross,5/20/2010,98,300000
324322,They Will Have to Kill Us First,10/13/2015,105,522360
323967,Walter,3/13/2015,87,700000
323677,Race,2/19/2016,134,5000000
323676,The Boss,4/7/2016,91,29000000
323675,Ride Along 2,1/14/2016,102,40000000
323271,Unsullied,8/28/2015,93,0
323270,The Horror Network Vol. 1,10/27/2015,0,0
322745,Counting,2/9/2015,111,50000
322443,The Timber,2/27/2015,81,0
322194,Subconscious,3/10/2015,110,0
321741,Concussion,11/12/2015,123,35000000
321697,Steve Jobs,10/9/2015,122,30000000
321258,The Boy,1/22/2016,97,10000000
320435,UnDivided,2/1/2013,0,0
320146,Creative Control,3/11/2016,97,1000000
319910,Broken Horses,3/15/2015,101,0
319888,Eddie the Eagle,2/26/2016,106,23000000
319069,Censored Voices,1/24/2015,84,0
318850,The Young Messiah,3/10/2016,120,18500000
318846,The Big Short,12/11/2015,130,28000000
318040,Bizarre,2/7/2015,99,0
317930,Compadres,3/31/2016,101,3000000
316727,The Purge: Election Year,6/29/2016,105,10000000
316152,Free State of Jones,6/24/2016,139,50000000
316002,Accidental Love,2/10/2015,100,26000000
315664,Florence Foster Jenkins,5/6/2016,110,29000000
315011,Shin Godzilla,7/29/2016,120,15000000
314385,By the Sea,11/12/2015,122,10000000
314365,Spotlight,11/6/2015,128,20000000
313922,Green Room,4/15/2016,95,5000000
312793,The Walking Deceased,3/20/2015,90,0
312791,GirlHouse,10/16/2014,100,3150000
312221,Creed,11/25/2015,133,37000000
312113,Black November,12/7/2012,95,12500000
310933,Bleeding Hearts,6/1/2013,0,0
310706,Black Water Transit,5/13/2009,100,0
310569,The Second Mother,2/8/2015,110,0
310131,The Witch,2/19/2016,92,3500000
309919,The Curse of Downers Grove,8/21/2015,89,2000000
309809,The Little Prince,7/29/2015,92,64000000
309503,Zipper,8/28/2015,103,0
309425,Do You Believe?,3/20/2015,115,0
308639,Dope,6/19/2015,103,700000
308531,Teenage Mutant Ninja Turtles: Out of the Shadows,6/1/2016,112,135000000
308529,Kickboxer: Vengeance,7/14/2016,90,17000000
308467,Roadside,3/1/2013,90,0
307081,Southpaw,6/15/2015,123,30000000
306745,Freeheld,10/2/2015,103,7000000
306667,Horse Camp,1/10/2015,108,0
304410,The B??lier Family,12/17/2014,105,11000000
304357,Woman in Gold,4/10/2015,120,11000000
303858,Money Monster,5/12/2016,98,27000000
302699,Central Intelligence,6/15/2016,107,50000000
302688,My Big Fat Greek Wedding 2,3/23/2016,94,18000000
302579,Naturally Native,10/8/1999,107,700000
302156,Criminal,4/14/2016,113,31500000
301748,The Opposite Sex,11/8/2014,96,3300000
301365,The Neon Demon,6/8/2016,117,7000000
301351,We Are Your Friends,8/26/2015,96,6000000
301325,#Horror,11/20/2015,90,1500000
300706,Let's Kill Ward's Wife,12/23/2014,81,5000000
300673,The Finest Hours,1/25/2016,114,80000000
300671,13 Hours: The Secret Soldiers of Benghazi,1/13/2016,144,50000000
300327,Death Calls,9/1/2010,0,0
300168,Dragon Blade,2/19/2015,127,65000000
299687,The 5th Wave,1/14/2016,112,38000000
299553,Shark Lake,10/2/2015,92,2000000
299552,Born Of War,12/5/2013,109,0
299245,The Gallows,7/10/2015,87,100000
299145,Stranded,6/5/2015,86,0
298584,Cabin Fever,2/12/2016,99,0
298312,The Visit,9/10/2015,94,5000000
297761,Suicide Squad,8/2/2016,123,175000000
297621,There's Always Woodstock,11/14/2014,90,0
297596,Dying of the Light,12/4/2014,94,15000000
297100,The Little Ponderosa Zoo,9/11/2014,84,500000
296943,The Hadza:  Last of the First,10/31/2014,70,0
296099,Vacation,7/28/2015,99,31000000
296098,Bridge of Spies,10/15/2015,141,40000000
296096,Me Before You,6/2/2016,110,20000000
295964,Burnt,10/2/2015,100,20000000
295914,Queen of the Mountains,8/22/2014,135,0
295886,Brotherly Love,4/24/2015,89,1900000
294600,Last I Heard,1/1/2013,98,0
294550,The Outrageous Sophie Tucker,5/2/2014,96,0
294512,Alpha and Omega: The Legend of the Saw Tooth Cave,7/21/2014,53,0
294272,Pete's Dragon,8/10/2016,102,65000000
294254,Maze Runner: The Scorch Trials,9/9/2015,132,61000000
294086,Tiger Orange,7/26/2014,75,0
293863,The Age of Adaline,4/16/2015,112,25000000
293670,The Wailing,5/12/2016,156,0
293660,Deadpool,2/9/2016,108,58000000
293646,The 33,8/6/2015,120,25000000
293644,Top Cat Begins,10/30/2015,89,8000000
292539,Food Chains,4/26/2014,83,913000
292483,Not Cool,9/23/2014,90,0
292481,Henry & Me,8/18/2014,67,5000000
291870,Dirty Grandpa,1/21/2016,102,11500000
291805,Now You See Me 2,6/2/2016,129,90000000
291362,Road Hard,3/6/2015,97,1500000
291270,Anomalisa,12/30/2015,90,8000000
291081,Red Riding: In the Year of Our Lord 1974,2/28/2009,102,0
290864,Kung Fu Jungle,10/31/2014,100,25000000
290825,Yoga Hosers,7/8/2016,88,5000000
290751,Secret in Their Eyes,10/14/2015,111,19500000
290595,The Huntsman: Winter's War,4/6/2016,114,115000000
290555,Wolves,8/28/2014,90,18000000
290391,"Run, Hide, Die",9/1/2015,75,50000
290370,Mutant World,9/27/2014,85,0
289180,H.,8/28/2014,93,0
288980,Freedom,8/21/2014,98,14500000
288927,Archaeology of a Woman,9/12/2014,94,0
287948,The Transporter Refueled,9/3/2015,96,25000000
287903,Krampus,11/26/2015,98,15000000
287815,Call + Response,10/10/2008,86,0
287625,Stories of Our Lives,9/5/2014,60,0
287524,Fear Clinic,10/31/2014,95,1
287424,Maggie,5/8/2015,95,4000000
286939,Sanctuary: Quite a Conundrum,1/20/2012,82,0
286565,Paper Towns,6/18/2015,109,12000000
286217,The Martian,9/30/2015,141,108000000
285923,Grindhouse,4/6/2007,191,67000000
285783,The Walk,9/30/2015,123,35000000
285743,Alleluia! The Devil's Carnival,3/29/2016,0,0
284536,The Gambler,12/25/2014,111,25000000
284296,Top Five,12/12/2014,102,0
284293,Still Alice,12/5/2014,99,5000000
283708,Far from Men,8/30/2014,110,7700000
283686,Out of the Dark,8/27/2014,92,0
283671,Jungle Shuffle,8/7/2014,85,0
283445,Sinister 2,8/19/2015,97,10000000
283384,The Calling,8/5/2014,108,0
282128,An American in Hollywood,7/18/2014,89,0
281957,The Revenant,12/25/2015,156,135000000
281730,Fugly,6/13/2014,134,0
281230,Fort McCoy,1/1/2014,0,0
281189,Gory Gory Hallelujah,11/5/2003,0,0
280871,Ramanujan,7/11/2014,170,0
280391,Why I Did (Not) Eat My Father,4/8/2015,100,0
280381,House at the End of the Drive,1/11/2014,91,0
280092,Insidious: Chapter 3,6/4/2015,97,10000000
279759,Harrison Montgomery,1/1/2008,0,0
278927,The Jungle Book,4/7/2016,106,175000000
278348,The Maid's Room,8/8/2014,98,0
278316,Da Sweet Blood of Jesus,6/22/2014,123,0
277685,Unfriended,4/17/2015,82,1000000
277519,Z Storm,6/19/2014,92,0
277216,Straight Outta Compton,8/13/2015,147,28000000
276907,Legend,9/9/2015,131,25000000
274854,The Last Witch Hunter,10/21/2015,106,90000000
274758,Give Me Shelter,6/24/2014,90,0
274479,Joy,12/24/2015,124,60000000
274167,Daddy's Home,12/25/2015,96,50000000
273899,Stonewall,9/18/2015,129,13500000
273895,Selma,12/25/2014,127,20000000
273481,Sicario,9/17/2015,121,30000000
273248,The Hateful Eight,12/25/2015,167,44000000
272878,Max,6/26/2015,111,20000000
272726,Dude Where's My Dog?,6/12/2014,0,0
272724,Doc Holliday's Revenge,6/1/2014,84,1000000
272693,The DUFF,2/20/2015,100,8500000
271969,Ben-Hur,8/17/2016,125,100000000
271718,Trainwreck,7/17/2015,125,35000000
271331,United Passions,6/19/2014,110,27000000
271185,Ask Me Anything,4/19/2014,100,950000
271110,Captain America: Civil War,4/27/2016,147,250000000
270946,Penguins of Madagascar,11/22/2014,92,132000000
270938,Falcon Rising,9/5/2014,103,0
270554,Echo Dr.,11/8/2013,85,0
270487,"Hail, Caesar!",2/5/2016,106,22000000
270303,It Follows,2/4/2015,100,2000000
269057,Bang Bang Baby,9/8/2014,90,1000000
268920,Hot Pursuit,5/8/2015,87,35000000
268917,The Past Is a Grotesque Animal,6/15/2014,77,100
268238,The Second Best Exotic Marigold Hotel,2/26/2015,122,10000000
268171,Elsa & Fred,3/7/2014,104,10000000
267935,The BFG,6/1/2016,120,140000000
267860,London Has Fallen,3/2/2016,99,60000000
266857,The Work and The Story,1/1/2003,70,0
266856,The Theory of Everything,11/26/2014,123,15000000
266647,Pan,9/24/2015,111,150000000
266396,The Gunman,2/16/2015,115,40000000
266102,Desert Dancer,7/3/2014,98,0
266034,The Blue Room,5/16/2014,75,0
265208,Wild Card,1/14/2015,92,30000000
264999,Magic Mike XXL,7/1/2015,115,14800000
264660,Ex Machina,1/21/2015,108,15000000
264656,The Homesman,5/18/2014,122,16000000
264644,Room,10/16/2015,117,6000000
263503,Water & Power,5/2/2014,0,0
262543,Automata,10/9/2014,110,7000000
262504,Allegiant,3/9/2016,121,110000000
262500,Insurgent,3/18/2015,119,110000000
261023,Black Mass,9/4/2015,122,53000000
260947,Something Wicked,4/4/2014,95,3000000
260778,Vaalu,8/14/2015,155,0
260346,Taken 3,12/16/2014,109,48000000
259943,Coming Home,5/16/2014,111,0
259694,How to Be Single,1/21/2016,110,38000000
259693,The Conjuring 2,5/13/2016,134,40000000
258755,Hidden Away,10/3/2014,96,0
258509,Alvin and the Chipmunks: The Road Chip,12/17/2015,92,0
258489,The Legend of Tarzan,6/29/2016,109,180000000
257932,Dragon Nest: Warriors' Dawn,5/20/2014,88,40000000
257445,Goosebumps,8/5/2015,103,58000000
257344,Pixels,7/16/2015,105,88000000
257211,The Intern,9/24/2015,121,35000000
257091,Get Hard,3/26/2015,100,40000000
257088,Point Break,12/3/2015,114,105000000
257087,The Veil,4/21/2016,93,4000000
256962,Little Boy,4/23/2015,106,20000000
256961,Paul Blart: Mall Cop 2,4/16/2015,94,38000000
256924,Danny Collins,3/19/2015,107,10000000
256917,The Water Diviner,12/25/2014,112,22500000
256740,Wicked Blood,3/4/2014,92,3500000
256687,Swelter,4/20/2014,96,0
256591,Focus,2/25/2015,105,50100000
256274,"As Above, So Below",8/14/2014,93,5000000
256092,Drive Hard,5/26/2014,96,12000000
256040,Baahubali: The Beginning,7/10/2015,159,40000000
255343,Escobar: Paradise Lost,10/11/2014,120,17000000
255266,Dry Spell,2/14/2013,90,22000
254904,The November Man,8/27/2014,108,15000000
254473,Brick Mansions,4/22/2014,90,28000000
254472,Stung,7/3/2015,87,2500000
254470,Pitch Perfect 2,5/7/2015,115,29000000
254128,San Andreas,5/27/2015,114,110000000
254024,The Face of an Angel,9/6/2014,100,0
253626,Good Kill,4/9/2015,104,0
253450,The Assassin,8/27/2015,105,15000000
253412,Everest,9/10/2015,121,55000000
253331,Black or White,9/6/2014,121,9000000
253306,Housebound,9/4/2014,109,0
253290,Butterfly Girl,3/10/2014,77,0
253261,Born to Fly: Elizabeth Streb vs. Gravity,3/8/2014,82,0
253253,Animals,5/15/2014,90,0
253235,And So It Goes,7/20/2014,94,18000000
252680,Moms' Night Out,3/25/2014,98,5000000
252512,While We're Young,4/3/2015,97,10000000
252360,In the Name of the King III,12/27/2013,85,3500000
251979,The Perfect Wave,2/28/2014,113,0
251471,A LEGO Brickumentary,7/31/2015,93,650000
251321,Aloft,2/12/2014,112,8000000
250902,The Image Revolution,11/21/2013,81,50000
250546,Annabelle,10/2/2014,99,6500000
250349,Barbecue,4/30/2014,98,6000000
250184,Locker 13,3/29/2014,90,0
250124,The Diary of a Teenage Girl,8/7/2015,98,2000000
250066,American Heist,9/11/2014,94,10000000
249164,If I Stay,8/21/2014,106,11000000
248774,Obvious Child,6/6/2014,83,0
248402,A Fine Step,4/16/2014,90,0
246655,X-Men: Apocalypse,5/18/2016,144,178000000
246449,Against the Wild,12/29/2013,90,1493619
246403,Tusk,9/19/2014,102,2800000
245916,Kill the Messenger,10/9/2014,112,5000000
245846,Strangerland,7/1/2015,111,10000000
245703,Midnight Special,2/18/2016,112,18000000
245700,Mr. Turner,10/31/2014,150,0
244786,Whiplash,10/10/2014,105,3300000
244783,Song One,1/20/2014,86,6000000
244776,The Sleepwalker,1/20/2014,92,0
244772,The Skeleton Twins,1/18/2014,90,0
244534,Happy Christmas,6/26/2014,82,0
244403,Rudderless,10/17/2014,105,5000000
244339,Out of Inferno,3/10/2013,107,0
244316,Into the Grizzly Maze,2/27/2015,94,10000000
244267,I Origins,7/18/2014,106,0
244114,Firestorm,12/12/2013,110,0
243940,The Lazarus Effect,1/29/2015,83,3300000
243938,Hot Tub Time Machine 2,2/20/2015,93,14000000
242582,Nightcrawler,10/23/2014,117,8500000
242575,"Guten Tag, Ram??n",10/18/2013,119,4000000
242512,Ouija,10/24/2014,89,5000000
242166,Red Sky,3/12/2014,100,25000000
242095,The Signal,3/15/2014,95,4000000
242083,Hits,1/21/2014,96,1000000
241771,Beyond the Lights,9/10/2014,116,7000000
241766,Lords of London,1/6/2014,90,3440000
241554,Run All Night,3/11/2015,114,50000000
241259,Alice Through the Looking Glass,5/25/2016,113,170000000
241257,Regression,10/1/2015,106,0
241254,The Prince,8/22/2014,93,18000000
241251,The Boy Next Door,1/23/2015,91,4000000
241239,A Most Violent Year,12/30/2014,125,20000000
240832,Lucy,7/14/2014,89,40000000
239897,Dwegons,1/24/2014,98,0
239678,This Is Where I Leave You,9/10/2014,103,19800000
239573,Unfinished Business,3/5/2015,91,35000000
239571,The Best of Me,10/16/2014,117,26000000
239566,Get on Up,8/1/2014,139,0
239563,St. Vincent,10/9/2014,102,13000000
238636,The Purge: Anarchy,7/17/2014,104,9000000
238615,Self/less,7/10/2015,116,26000000
238603,Earth to Echo,6/14/2014,89,13000000
236751,Heaven is for Real,4/16/2014,99,12000000
235271,Addicted,10/10/2014,105,0
235260,Son of God,2/28/2014,138,22000000
234212,Demonic,2/12/2015,83,3000000
232679,When the Game Stands Tall,8/22/2014,115,15000000
232672,Blended,5/21/2014,117,40000000
231617,"Signed, Sealed, Delivered",10/13/2013,120,0
231576,Wish I Was Here,1/18/2014,120,5500000
230266,Miss Julie,9/7/2014,120,5500000
228970,Wild,12/5/2014,115,15000000
228967,The Interview,12/25/2014,112,44000000
228550,Raymond Did It,3/27/2011,83,0
228326,The Book of Life,10/1/2014,95,50000000
228205,The Longest Ride,4/9/2015,128,34000000
228203,"McFarland, USA",2/20/2015,128,0
228194,The Hundred-Foot Journey,8/6/2014,122,22000000
228165,The SpongeBob Movie: Sponge Out of Water,2/5/2015,93,74000000
228161,Home,3/18/2015,94,135000000
228150,Fury,10/15/2014,135,68000000
228066,Victor Frankenstein,11/10/2015,109,40000000
227975,Futuro Beach,5/1/2014,106,0
227973,The Peanuts Movie,11/5/2015,88,99000000
227783,The Nut Job,1/17/2014,85,0
227735,Dolphin Tale 2,9/12/2014,107,36000000
227719,Project Almanac,1/30/2015,106,12000000
227707,The Adventurer: The Curse of the Midas Box,12/5/2013,99,25000000
227348,Paranormal Activity: The Marked Ones,1/1/2014,84,5000000
227306,Unbroken,12/25/2014,137,65000000
227159,Horrible Bosses 2,11/26/2014,108,42000000
227156,The Giver,8/11/2014,94,25000000
226857,Endless Love,2/12/2014,103,20000000
226486,Tammy,7/2/2014,97,20000000
226458,Backmask,1/16/2015,91,0
226354,The Christmas Candle,11/22/2013,100,0
225886,Sex Tape,7/17/2014,97,40000000
225574,Non-Stop,1/26/2014,106,50000000
225565,That Awkward Moment,1/29/2014,94,8000000
225235,The Geographer Drank His Globe Away,7/26/2013,120,0
224569,Taxman,9/16/1999,104,0
224141,Into the Woods,12/25/2014,125,50000000
223702,Sausage Party,7/11/2016,83,19000000
223485,Slow West,4/16/2015,84,0
222936,Aloha,5/27/2015,105,37000000
222935,The Fault in Our Stars,5/16/2014,125,12000000
222899,About Last Night,2/14/2014,100,12500000
222649,Rosewater,11/7/2014,103,0
222250,A True Story,9/20/2013,96,0
220490,Her Cry: La Llorona Investigation,4/19/2013,89,0
220488,My Lucky Star,9/17/2013,114,0
219716,Sparkler,3/19/1999,96,0
218778,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",10/8/2014,81,28000000
218500,The Ballad of Gregorio Cortez,8/19/1983,104,0
218043,Left Behind,10/3/2014,110,16000000
217708,Of Horses and Men,8/30/2013,85,10
216282,Into the Storm,8/6/2014,89,50000000
216015,Fifty Shades of Grey,2/11/2015,125,40000000
215924,The Amazing Catfish,8/10/2013,87,1300000
215918,1982,12/31/2013,90,1000000
215881,Plush,9/13/2013,98,0
215211,Grace of Monaco,5/14/2014,103,30000000
214756,Ted 2,6/25/2015,115,68000000
211954,Instructions Not Included,7/20/2013,115,5500000
211672,Minions,6/17/2015,91,74000000
211557,Vessel,10/28/2012,14,0
211086,Faith Connections,11/21/2013,115,550000
210860,Mortdecai,1/21/2015,106,60000000
210577,Gone Girl,10/1/2014,145,61000000
209451,Jersey Boys,6/5/2014,134,40000000
209403,Bad Words,9/6/2013,88,9500000
209274,Ida,10/25/2013,80,2159280
209263,Enough Said,9/18/2013,93,0
209112,Batman v Superman: Dawn of Justice,3/23/2016,151,250000000
208869,Plastic,4/30/2014,102,10
208763,Forbidden Kingdom,1/30/2014,127,26000000
208134,Bad Grandpa,10/22/2013,92,15000000
207769,Banshee Chapter,8/26/2013,87,950000
206647,Spectre,10/26/2015,148,245000000
206563,Trash,10/9/2014,112,0
206412,Lisa Picard Is Famous,5/14/2000,90,0
206296,The Last Five Years,11/3/2014,94,0
206284,Grace Unplugged,10/4/2013,102,0
206213,Zombie Hunter,7/25/2013,93,0
206197,The Sisterhood of Night,4/10/2015,104,0
205775,In the Heart of the Sea,11/20/2015,122,100000000
205596,The Imitation Game,11/14/2014,113,14000000
205588,Our Kind of Traitor,5/5/2016,108,0
205587,The Judge,10/8/2014,141,50000000
205584,Gods of Egypt,2/25/2016,127,140000000
205321,Sharknado,7/11/2013,86,1000000
205220,Philomena,11/1/2013,98,12000000
205126,Independence Daysaster,6/27/2013,86,1800000
204922,Before I Go to Sleep,9/3/2014,92,22000000
204082,Homefront,11/27/2013,100,22000000
203833,The Book Thief,11/8/2013,131,0
203801,The Man from U.N.C.L.E.,8/13/2015,116,75000000
202604,The Vatican Exorcisms,5/29/2013,0,0
202575,Thunder and the House of Magic,12/24/2013,85,34000000
201132,Antarctica: A Year on Ice,9/5/2013,92,1000000
201088,Blackhat,1/13/2015,133,70000000
200505,Draft Day,4/11/2014,109,25000000
